,Condition,Drug,Indication,Type,Effective,EaseOfUse,Satisfaction
0,Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,2.52,3.01,1.84
2,Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,2.78,3.0,2.08
3,Acute Bacterial Sinusitis,Azithromycin,On Label,RX,3.21,4.01,2.57
8,Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
11,Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,2.44,2.96,1.68
13,Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3.04,3.37,2.34
17,Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,3.0,3.4,2.18
20,Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
24,Acute Bacterial Sinusitis,Erythromycin,On Label,RX,2.11,2.79,1.32
26,Acute Bacterial Sinusitis,Amoxicillin-Pot Clavulanate,Off Label,RX,3.29,3.47,2.59
27,Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,3.29,3.71,2.86
28,Acute Bacterial Sinusitis,Levofloxacin,On Label,RX,3.29,4.43,3.0
29,Acute Bacterial Sinusitis,Azithromycin,On Label,RX,4.0,4.5,3.7
30,Acute Bacterial Sinusitis,Erythromycin,On Label,RX,3.8,4.0,3.4
31,Acute Bacterial Sinusitis,Ampicillin,On Label,RX,3.0,3.25,3.0
32,Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,3.33,3.33,3.0
33,Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,3.0,2.8,2.2
34,Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3.25,2.75,3.0
36,Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,2.33,3.67,3.0
39,Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,2.5,3.5,2.5
40,Acute Bacterial Sinusitis,Moxifloxacin-Sod.Chloride(Iso),On Label,RX,2.33,2.33,2.0
41,Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,3.0,5.0,3.0
44,Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,5.0,4.0,5.0
45,Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1.0,1.0,1.0
46,Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,5.0,4.0,4.5
47,Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,4.0,4.0,4.0
49,Acute Bacterial Sinusitis,Erythromycin,On Label,RX,5.0,2.0,4.0
50,Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,5.0,5.0,5.0
51,Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5.0,1.0,1.0
53,Acute Bacterial Sinusitis,Ampicillin,On Label,RX,3.0,2.0,1.0
